t,agent_x,agent_y,goal_x,goal_y,subgoal_x,subgoal_y,waypoint_x,waypoint_y,new_high_command
266,31.033923816276733,6.506581235669798,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
267,31.06544357917296,6.579383879293552,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
268,31.137040121970827,6.699626845112624,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
269,31.211693999934855,6.840578674084669,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
270,31.246678503960336,6.982617154919366,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
271,31.230626476669258,7.134153763415402,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
272,31.123677117071438,7.2852656548902015,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
273,31.013009931750833,7.4388335683115665,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
274,30.949851010073107,7.601543438765521,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
275,30.988681104294347,7.770708900826138,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
276,31.12864932813896,7.963019853047111,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
277,31.228529326876398,8.161264597930426,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
278,31.219168630926273,8.3311837273455,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
279,31.100710722179848,8.478871874259779,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,9.0,0
280,30.966962519920703,8.591183479705917,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
281,30.863435629083316,8.702506237016403,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
282,30.87131588783949,8.82252932940355,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
283,30.915274046923976,8.970781867826657,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
284,30.899964186431816,9.079795034474104,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
285,30.85829085678732,9.149005397033244,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
286,30.78941543836123,9.220021970994035,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
287,30.750254606904917,9.328504253428083,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
288,30.73667750445204,9.462021509691212,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
289,30.796683314811975,9.640506590887622,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
290,30.92045509201565,9.859093977464708,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
291,31.018271859108165,10.074503116594142,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
292,31.083949703404546,10.294572015570362,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
293,31.05762348223328,10.475690585894876,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,11.0,0
294,30.966229574132647,10.616594944848133,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
295,30.910275343531172,10.73713869827234,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
296,30.961219908714398,10.867151313219113,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
297,31.027198950937276,11.003818272095307,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
298,31.054858060555176,11.132406594761527,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
299,30.967729380027798,11.239596279253126,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
300,30.8479603736543,11.359362712158703,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
301,30.77345162591396,11.511106025586889,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
302,30.723405220113012,11.67798224914776,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
303,30.729068041109613,11.86515956212725,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
304,30.83453661895349,12.089577291274688,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
305,30.890814887398893,12.295921342999618,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
306,30.908489042621277,12.455957724871148,0.0,32.0,-3.999998092651367,14.255319595336914,31.0,13.0,0
