t,agent_x,agent_y,goal_x,goal_y,subgoal_x,subgoal_y,waypoint_x,waypoint_y,new_high_command
86,9.857168865972604,-1.1224664752280205,0.0,32.0,-3.999998092651367,15.12043285369873,11.0,-1.0,0
87,9.996633143057934,-1.0672928337342504,0.0,32.0,-3.999998092651367,15.12043285369873,11.0,-1.0,0
88,10.13984619489974,-1.0235530067341816,0.0,32.0,-3.999998092651367,15.12043285369873,11.0,-1.0,0
89,10.320223460044094,-0.9812363054301799,0.0,32.0,-3.999998092651367,15.12043285369873,11.0,-1.0,0
90,10.518759263794472,-0.9465032863180751,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
91,10.753680296222795,-0.9653372074544667,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
92,10.972535994796143,-1.0042414743398764,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
93,11.179009467482325,-1.0275235858922755,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
94,11.267027266507956,-1.0274977489181292,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
95,11.312421298504583,-1.0390625917888388,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
96,11.357295776486009,-1.0361471158188602,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
97,11.420311848826184,-1.0406437309650551,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
98,11.467807633948134,-1.0053030604785522,0.0,32.0,-3.999998092651367,15.12043285369873,12.0,-1.0,0
99,11.600198432307463,-1.0239498716976407,0.0,32.0,-3.999998092651367,15.12043285369873,13.0,-1.0,0
100,11.752074106742368,-1.0396454386485243,0.0,32.0,-3.999998092651367,15.12043285369873,13.0,-1.0,0
101,11.887157755797432,-1.041980208949539,0.0,32.0,-3.999998092651367,15.12043285369873,13.0,-1.0,0
102,12.000988189996058,-0.9953367995361853,0.0,32.0,-3.999998092651367,15.12043285369873,13.0,-1.0,0
103,12.099403167302793,-0.9598515413550416,0.0,32.0,-3.999998092651367,15.12043285369873,13.0,-1.0,0
104,12.213682210726402,-0.9871226383717541,0.0,32.0,-3.999998092651367,15.12043285369873,13.0,-1.0,0
105,12.380159742392069,-1.0127463398982612,0.0,32.0,-3.999998092651367,15.12043285369873,13.0,-1.0,0
106,12.574154091469435,-0.9882280794312882,0.0,32.0,-3.999998092651367,15.12043285369873,15.0,-1.0,0
107,12.775511485825398,-0.9785712302603148,0.0,32.0,-3.999998092651367,15.12043285369873,15.0,-1.0,0
108,12.977023278731108,-0.9692122404060484,0.0,32.0,-3.999998092651367,15.12043285369873,15.0,-1.0,0
109,13.095905744597044,-0.9397570772944158,0.0,32.0,-3.999998092651367,15.12043285369873,15.0,-1.0,0
110,13.169061997953534,-0.905345653544284,0.0,32.0,-3.999998092651367,15.12043285369873,15.0,-1.0,0
111,13.22977542525261,-0.8612570400454467,0.0,32.0,-3.999998092651367,15.12043285369873,15.0,-1.0,0
112,13.341690629148212,-0.8558137823760895,0.0,32.0,-3.999998092651367,15.12043285369873,15.0,-1.0,0
