metric,value,total_timesteps,episode,wall_time
Loss_actor,1.1431852579116821,3501,158,1782478084.6022303
Loss_action_l2,0.8940925598144531,3501,158,1782478084.6044195
Loss_bc,1104.261962890625,3501,158,1782478084.6059053
q_pi,-1.1342442035675049,3501,158,1782478084.6078675
TimePerSeqRollout,16.178001880645752,4000,158,1782478100.7305617
Loss_critic_1,0.021139472723007202,4001,159,1782478100.7517622
Loss_critic_2,0.022309694439172745,4001,159,1782478100.7537868
q_targ,-1.3662415742874146,4001,159,1782478100.7556674
G_Loss_critic_1,0.0325787290930748,4001,159,1782478100.7723374
G_Loss_critic_2,0.030188215896487236,4001,159,1782478100.773702
G_q_targ,-0.8419393301010132,4001,159,1782478100.7765105
Loss_actor,1.337843894958496,4001,159,1782478100.7824967
Loss_action_l2,0.8522469401359558,4001,159,1782478100.784546
Loss_bc,1068.723388671875,4001,159,1782478100.7868476
q_pi,-1.3293213844299316,4001,159,1782478100.7883883
TimePerSeqRollout,16.200568199157715,4500,159,1782478116.9334016
Loss_critic_1,0.022845659404993057,4501,160,1782478116.9522765
Loss_critic_2,0.025882985442876816,4501,160,1782478116.9544845
q_targ,-1.4732964038848877,4501,160,1782478116.9560528
